,name
0,Animal_Model
1,Animal_Population_Groups
2,Animal_raised_for_meat_production
3,Animal_Study
4,Animals
5,Animals__Domestic
6,Animals__Laboratory
7,Animals__Transgenic
8,Clinical_Companion
9,Disease_Vectors
10,Experimental_Animal_Models
11,Founder_Animals__Transgenic
12,Laboratory_Animal_Models
13,Mammal_in_fiber_production
14,Racing___Animals
15,Recombinant_Inbred_Strain
16,Animal_for_breeding
17,mature_animal
