,name,site,list
0,Antigen_in_Hh_blood_group_system,d,"['antigen for 16 h', 'in H', 'antigen in H-2d', '1-h incubation of antigen', 'H. ducreyi antigen']"
1,AE_1__Immunologic_Factor_,d,"['CRF01_AE', '01_AE']"
2,AE_3__Immunologic_Factor_,d,"['CRF01_AE', 'CHB-AE ', 'non-pregnancy-specific AE']"
