,name,site,list
0,G_Series_Nerve_Agent_GD,c,['GD']
1,Tobacco_smoke,c,['Smoke']
2,G_Series_Nerve_Agent_GC,c,['eGC']
3,Airborne_Particulate_Matter,c,['APM']
