,name,site,list
0,Anti_Vaccination_Movement,c,"['Group, Anti-Vaccine']"
1,ascribed_status,c,['ascription']
2,Bisexuality,c,['Bi']
3,child_rearing_practice,c,['parenting practices']
4,Dating__Social_,c,['Dating']
5,Formal_relationships,c,['Formal Association']
6,Harmonious_relationship_and_interaction,c,['harmony']
7,Helping_Behavior,c,"['assist', 'Assistance']"
8,Heterosexuality,c,['Straight']
9,Incivility,c,['Rudeness']
