,name,site,list
0,Atla__fungus_,c,['Atla']
1,Epicoccum__fungus_,c,['Cerebella']
2,Filamentous_fungus,c,"['Mould', 'MOLD', 'Molds']"
3,Genus_Tuber__fungus_,c,"['tubers', 'Tuber']"
4,Nia__fungus_,c,['Nia']
